,run_dir,setting,language_mode,language,model_family,seed,context,features,include_mwe_segment,transform,eval_language,accuracy,macro_f1,macro_precision,macro_recall,tp,tn,fp,fn,features_norm,variant,context_label,regime
3,zero_shot__EN_PT_GL__previous_target_next_True_highlight_empty__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,previous_target_next,,True,highlight,EN,0.8443396226415094,0.8439925073588439,0.8436964313542153,0.8452335696236499,169,189,38,28,empty,Highlight,Full,joint
4,zero_shot__EN_PT_GL__previous_target_next_True_highlight_empty__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,previous_target_next,,True,highlight,GL,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,1,2,2,empty,Highlight,Full,joint
5,zero_shot__EN_PT_GL__previous_target_next_True_highlight_empty__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,previous_target_next,,True,highlight,PT,0.714975845410628,0.6924684612091758,0.698943661971831,0.6890748031496063,46,102,25,34,empty,Highlight,Full,joint
7,zero_shot__EN_PT_GL__previous_target_next_True_highlight_glosses__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,previous_target_next,glosses,True,highlight,EN,0.839622641509434,0.8385847049602508,0.8391763676737769,0.8381448601265682,161,195,32,36,glosses,Highlight + Glosses,Full,joint
8,zero_shot__EN_PT_GL__previous_target_next_True_highlight_glosses__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,previous_target_next,glosses,True,highlight,GL,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,1,1,glosses,Highlight + Glosses,Full,joint
9,zero_shot__EN_PT_GL__previous_target_next_True_highlight_glosses__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,previous_target_next,glosses,True,highlight,PT,0.7294685990338164,0.7089192446765769,0.7148148148148148,0.705511811023622,48,103,24,32,glosses,Highlight + Glosses,Full,joint
11,zero_shot__EN_PT_GL__previous_target_next_True_highlight_ner__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,previous_target_next,ner,True,highlight,EN,0.7759433962264151,0.7758823103929849,0.7826585695006747,0.7810214897470873,168,161,66,29,ner,Highlight + NER,Full,joint
12,zero_shot__EN_PT_GL__previous_target_next_True_highlight_ner__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,previous_target_next,ner,True,highlight,GL,0.5,0.4857142857142857,0.5,0.5,2,1,2,1,ner,Highlight + NER,Full,joint
13,zero_shot__EN_PT_GL__previous_target_next_True_highlight_ner__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,previous_target_next,ner,True,highlight,PT,0.714975845410628,0.6957778054552248,0.6987878787878787,0.6937007874015748,48,100,27,32,ner,Highlight + NER,Full,joint
15,zero_shot__EN_PT_GL__target_True_highlight_empty__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,target,,True,highlight,EN,0.7594339622641509,0.7568151147098514,0.7918867423968357,0.7706344059571995,183,139,88,14,empty,Highlight,Target,joint
16,zero_shot__EN_PT_GL__target_True_highlight_empty__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,target,,True,highlight,GL,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,1,1,empty,Highlight,Target,joint
17,zero_shot__EN_PT_GL__target_True_highlight_empty__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,target,,True,highlight,PT,0.6473429951690821,0.6322015334063527,0.6312439729990357,0.6339566929133857,46,88,39,34,empty,Highlight,Target,joint
19,zero_shot__EN_PT_GL__target_True_highlight_glosses__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,target,glosses,True,highlight,EN,0.8066037735849056,0.8026518935609845,0.813206272280342,0.8005992978376082,141,201,26,56,glosses,Highlight + Glosses,Target,joint
20,zero_shot__EN_PT_GL__target_True_highlight_glosses__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,target,glosses,True,highlight,GL,0.5,0.4857142857142857,0.5,0.5,1,2,1,2,glosses,Highlight + Glosses,Target,joint
21,zero_shot__EN_PT_GL__target_True_highlight_glosses__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,target,glosses,True,highlight,PT,0.6570048309178744,0.6067481871939635,0.6333619210977701,0.6071358267716536,31,105,22,49,glosses,Highlight + Glosses,Target,joint
23,zero_shot__EN_PT_GL__previous_target_next_True_none_empty__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,previous_target_next,,True,none,EN,0.8985849056603774,0.898108251599743,0.897984267453294,0.8982423578344776,176,205,22,21,empty,Standard,Full,joint
24,zero_shot__EN_PT_GL__previous_target_next_True_none_empty__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,previous_target_next,,True,none,GL,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,1,1,empty,Standard,Full,joint
25,zero_shot__EN_PT_GL__previous_target_next_True_none_empty__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,previous_target_next,,True,none,PT,0.7101449275362319,0.6929390822784809,0.6939475253428742,0.6920767716535433,49,98,29,31,empty,Standard,Full,joint
27,zero_shot__EN_PT_GL__previous_target_next_True_none_ner__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,previous_target_next,ner,True,none,EN,0.8632075471698113,0.8630978890175469,0.8737758679181273,0.8695632728817728,189,177,50,8,ner,NER,Full,joint
28,zero_shot__EN_PT_GL__previous_target_next_True_none_ner__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,previous_target_next,ner,True,none,GL,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,1,1,ner,NER,Full,joint
29,zero_shot__EN_PT_GL__previous_target_next_True_none_ner__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,previous_target_next,ner,True,none,PT,0.6811594202898551,0.6569405383688228,0.6615740740740741,0.6545767716535433,43,98,29,37,ner,NER,Full,joint
31,zero_shot__EN_PT_GL__target_True_highlight_ner__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,target,ner,True,highlight,EN,0.7617924528301887,0.7612066802353139,0.7610002672129688,0.7621033565151278,151,172,55,46,ner,Highlight + NER,Target,joint
32,zero_shot__EN_PT_GL__target_True_highlight_ner__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,target,ner,True,highlight,GL,0.5,0.4857142857142857,0.5,0.5,2,1,2,1,ner,Highlight + NER,Target,joint
33,zero_shot__EN_PT_GL__target_True_highlight_ner__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,target,ner,True,highlight,PT,0.6521739130434783,0.605797714769361,0.6267738883632923,0.6055118110236221,32,103,24,48,ner,Highlight + NER,Target,joint
35,zero_shot__EN_PT_GL__target_True_none_empty__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,target,,True,none,EN,0.8466981132075472,0.8465060066499211,0.8466981132075472,0.8484424964780071,172,187,40,25,empty,Standard,Target,joint
36,zero_shot__EN_PT_GL__target_True_none_empty__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,target,,True,none,GL,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,1,1,empty,Standard,Target,joint
37,zero_shot__EN_PT_GL__target_True_none_empty__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,target,,True,none,PT,0.6666666666666666,0.6338161774131521,0.6444203683640304,0.6312007874015748,38,100,27,42,empty,Standard,Target,joint
39,zero_shot__EN_PT_GL__target_True_none_ner__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,target,ner,True,none,EN,0.8372641509433962,0.8358755715127205,0.837585647313379,0.8349359332722108,158,197,30,39,ner,NER,Target,joint
40,zero_shot__EN_PT_GL__target_True_none_ner__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,target,ner,True,none,GL,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,1,1,ner,NER,Target,joint
41,zero_shot__EN_PT_GL__target_True_none_ner__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,target,ner,True,none,PT,0.6956521739130435,0.6798418972332017,0.6794532627865961,0.6802657480314961,49,95,32,31,ner,NER,Target,joint
42,zero_shot__EN__previous_target_next_True_highlight_empty__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,,True,highlight,EN,0.7783018867924528,0.777465103294249,0.7962231005709266,0.7865784118607304,178,152,75,19,empty,Highlight,Full,isolated
43,zero_shot__EN__previous_target_next_True_highlight_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,glosses,True,highlight,EN,0.8066037735849056,0.8056307162503634,0.8056307162503634,0.8056307162503634,156,186,41,41,glosses,Highlight + Glosses,Full,isolated
44,zero_shot__EN__previous_target_next_True_highlight_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,ner,True,highlight,EN,0.8702830188679245,0.8701956527789374,0.871082621082621,0.8728169234553544,179,190,37,18,ner,Highlight + NER,Full,isolated
45,zero_shot__EN__previous_target_next_True_none_empty__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,,True,none,EN,0.839622641509434,0.839533382310381,0.8486427942868747,0.8455242737986091,183,173,54,14,empty,Standard,Full,isolated
46,zero_shot__EN__previous_target_next_True_none_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,glosses,True,none,EN,0.8915094339622641,0.8914224637035717,0.89208857238233,0.8939824235783448,183,195,32,14,glosses,Glosses,Full,isolated
47,zero_shot__EN__previous_target_next_True_none_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,ner,True,none,EN,0.8561320754716981,0.8555463090696855,0.877975914775359,0.8649679107314564,195,168,59,2,ner,NER,Full,isolated
48,zero_shot__EN__target_True_highlight_empty__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,,True,highlight,EN,0.8679245283018868,0.8648451730418942,0.8800507721599322,0.861557727140589,152,216,11,45,empty,Highlight,Target,isolated
49,zero_shot__EN__target_True_highlight_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,glosses,True,highlight,EN,0.8160377358490566,0.8073580465528087,0.8469442254380833,0.805049307900445,128,218,9,69,glosses,Highlight + Glosses,Target,isolated
50,zero_shot__EN__target_True_highlight_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,ner,True,highlight,EN,0.8089622641509434,0.8067858971257547,0.8101671056216511,0.8054853641628839,149,194,33,48,ner,Highlight + NER,Target,isolated
51,zero_shot__EN__target_True_none_empty__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,,True,none,EN,0.8891509433962265,0.8868080997415579,0.9003222191089941,0.8833940830519466,158,219,8,39,empty,Standard,Target,isolated
52,zero_shot__EN__target_True_none_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,glosses,True,none,EN,0.8514150943396226,0.8448843542945408,0.8836519114688128,0.8411078065251907,137,224,3,60,glosses,Glosses,Target,isolated
53,zero_shot__EN__target_True_none_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,ner,True,none,EN,0.8915094339622641,0.8914224637035717,0.89208857238233,0.8939824235783448,183,195,32,14,ner,NER,Target,isolated
54,zero_shot__PT__previous_target_next_True_highlight_empty__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,previous_target_next,,True,highlight,PT,0.6570048309178744,0.5967790611539411,0.6353723404255319,0.6001968503937007,28,108,19,52,empty,Highlight,Full,isolated
55,zero_shot__PT__previous_target_next_True_highlight_glosses__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,previous_target_next,glosses,True,highlight,PT,0.5314009661835749,0.5226673006062047,0.5265151515151515,0.5279035433070867,41,69,58,39,glosses,Highlight + Glosses,Full,isolated
56,zero_shot__PT__previous_target_next_True_highlight_ner__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,previous_target_next,ner,True,highlight,PT,0.6135265700483091,0.5943562610229277,0.594,0.5948326771653543,41,86,41,39,ner,Highlight + NER,Full,isolated
57,zero_shot__PT__previous_target_next_True_none_empty__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,previous_target_next,,True,none,PT,0.7101449275362319,0.6805555555555556,0.6952578671328671,0.6758858267716535,42,105,22,38,empty,Standard,Full,isolated
58,zero_shot__PT__previous_target_next_True_none_glosses__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,previous_target_next,glosses,True,none,PT,0.6135265700483091,0.5652173913043479,0.5788590604026846,0.5670767716535433,29,98,29,51,glosses,Glosses,Full,isolated
59,zero_shot__PT__previous_target_next_True_none_ner__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,previous_target_next,ner,True,none,PT,0.6859903381642513,0.6504559270516717,0.6676397933977094,0.6469488188976378,38,104,23,42,ner,NER,Full,isolated
60,zero_shot__PT__target_True_highlight_empty__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,target,,True,highlight,PT,0.6328502415458938,0.5953703703703703,0.6047858391608392,0.5943897637795276,34,97,30,46,empty,Highlight,Target,isolated
61,zero_shot__PT__target_True_highlight_glosses__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,target,glosses,True,highlight,PT,0.6038647342995169,0.5363308566433567,0.5603380503144654,0.5453248031496063,23,102,25,57,glosses,Highlight + Glosses,Target,isolated
62,zero_shot__PT__target_True_highlight_ner__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,target,ner,True,highlight,PT,0.6521739130434783,0.5543062200956937,0.6443502824858757,0.5754429133858268,19,116,11,61,ner,Highlight + NER,Target,isolated
63,zero_shot__PT__target_True_none_empty__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,target,,True,none,PT,0.6280193236714976,0.5913600820407641,0.599566630552546,0.5904527559055118,34,96,31,46,empty,Standard,Target,isolated
64,zero_shot__PT__target_True_none_glosses__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,target,glosses,True,none,PT,0.6231884057971014,0.5819697597348799,0.5925472747497219,0.5818897637795275,32,97,30,48,glosses,Glosses,Target,isolated
65,zero_shot__PT__target_True_none_ner__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,target,ner,True,none,PT,0.5748792270531401,0.557520404197435,0.5573226984432058,0.5587106299212599,39,80,47,41,ner,NER,Target,isolated
